Nama Rumah Sakit,Kode Rumah Sakit,Jenis Rumah Sakit,URL,Tanggal Registrasi,Alamat,Kab/Kota,Kodepos,Telp,Kelas Rumah Sakit,Direktur,Penyelenggara,Update,Fax,Email,Humas,Website,Dokter Spesialis Anak,Dokter Spesialis Obstetri dan Ginekologi,Dokter Spesialis Penyakit Dalam,Dokter Spesialis Bedah,Dokter Spesialis Radiologi,Dokter Spesialis Rehabilitasi Medik,Dokter Spesialis Anestesiologi dan Terapi Intensif,Dokter Spesialis Jantung dan Pembuluh Darah,Dokter Spesialis Mata,Dokter Spesialis Telinga Hidung Tenggorokan,Dokter Spesialis Kedokteran Jiwa atau Psikiatri,Dokter Umum,Dokter GIGI,Dokter Spesialis GIGI,Perawat,Bidan,Farmasi,Tenaga Kesehatan Lainnya,Kamar VVIP,Kamar VIP,Kamar Kelas Satu,Kamar Kelas Dua,Kamar Kelas Tiga,Tenaga Kerja Non Kesehatan,Luas Tanah,Luas Bangunan,No Surat Izin,Tanggal Surat Izin,Surat Izin dari,Sifat Surat Izin
RSU PKU Muhammadiyah Surabaya,3578793,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-surabaya/rsu-pku-muhammadiyah-surabaya.html,  03/08/2016, JL. KH MAS MANSYUR 180-182 SURABAYA, Kota Surabaya, 60162, 031-3522980, D, dr. Achmad Azis, Organisasi Islam, 13/09/2016, 031-3522980, rsm_sby@yahoo.com, 08113555560, www.rspkusby.com, 2,-, 1, 1, 1,-, 1,-,-,-,  0, 8, 2,-,-,-,-,-, Ruang, 2 Ruang, 2 Ruang, 6 Ruang, 33 Ruang, 28, 1108 m2, 2176 m2, 503.445/37/P/IO.RS/436.6.3/XII/2015, 25/09/2015, Kepala Dinas Kesehatan Kota Surabaya, Tetap
RSK Mata Aini Prof. dr. Isak Salim,3171424,RSK Mata,https://medicalclinic.id/rumah-sakit/daerah/jakarta-selatan/rsk-mata-aini-prof.-dr.-isak-salim.html,  13/06/2014," Jl. HR Rasuna Said,Jaksel", Jakarta Selatan, 12920, 5256228, B," Dr. Fatiah Elli, SpM", Organisasi Sosial, 10/09/2016, 5224288, info@rsmataaini.co.id, 5256228 Ext.212, http://rsmataaini.co.id/, 1,-, 1,-, 1,-, 5,-, 35,-,  0, 1,-,-,-,-, 2,-, Ruang, 4 Ruang, 4 Ruang, 4 Ruang, 12 Ruang,-, 5.526 m2, 6.027 m2, 10735/2011, 18/10/2011, Dinas Kesehatan Provinsi DKI Jakarta, Perpanjang
RSU Bogor Medical Center,3271126,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-bogor-medical-center.html,  00/00/0000," Jl. Pajajaran Indah V No.97, Bogor", Kota Bogor, 16413, 0251-8307900, C, DR. dr. Hendro Darmawan MSc. SpJP, Swasta/Lainnya, 10/09/2016, 0251-8313987, rs_bmc@yahoo.com, 0251-8307900, www.bogormedicalcenter.co.id, 4,-, 4, 3, 1, 1, 6, 4, 2, 2,  0, 13, 5,-,-,-, 2,-, 13 Ruang, 35 Ruang, 17 Ruang, 6 Ruang, 16 Ruang,-, - m2, - m2, HK03.05/1/8084/10, 30/12/2010, -,-
RSU Hermina Banyumanik Semarang,3374365,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-semarang/rsu-hermina-banyumanik-semarang.html,  05/08/2014," Jln. Jenderal Polisi Anton Soedjarwo No.195 A, Banyumanik", Kota Semarang, 50263, 024-76488989, C," dr. Endang Sulistyowati, Sp.A", Perusahaan, 09/09/2016, 024-76479080, banyumanik@herminahospitalgroup.com," 024-76488989, p", www.herminahospitalgroup.com, 16,1, 8, 7, 2, 2, 4, 1, 2, 2,  1, 12, 2, 7, 54, 5, 4, 9, 2 Ruang, 6 Ruang, 10 Ruang, 12 Ruang, 22 Ruang, 50, 8.086 m2, 7.039 m2, 445/4533, 06/05/2015, Pemerintah Kota Semarang, Tetap
RSU Puri Cinere,3201072,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsu-puri-cinere.html,  01/05/2013," Jl. Maribaya No.1 Puri Cinere,Depok", Kota Depok, 16514, 021-7545488, B," Dr. H. Judiwan Delias Maswar, MARS", Swasta/Lainnya, 08/09/2016, 021-7545490, rspc@rspuricinere.com, 7545488EXT 1488, www.rspuricinere.com, 2,-, 2,-,-, 1, 2,-,-,-,  0, 13, 1,-,-,-, 1,-, 8 Ruang, 39 Ruang, 14 Ruang, 24 Ruang, 27 Ruang,-, - m2, - m2, HK.07.06/III/789/08, 11/03/2008, Dirjen Bina Pelayanan Medik,-
RSIA Permata Bunda,7471103,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-kendari/rsia-permata-bunda.html,  07/03/2013, Jl. Ngeksigondo 56 Yogyakarta, Kota Yogyakarta, 55172, 0274-376092, C, dr. Antonius Aria Saksana, Organisasi Sosial, 10/04/2017, 0274-376092, rskiapermatabunda@gmail.com, 0813 9290 2277, -, 2,-, 1, 1,-,-, 1,-,-,-,  0, 5, 1,-, 25, 15, 1, 5, Ruang, Ruang, 2 Ruang, 2 Ruang, 21 Ruang, 16," 2.506,5 m2"," 781,5 m2", 503/5516, 14/07/2015, Dinas Kesehatan Kota Yogyakarta, Tetap
Rumkitban 07.08.05 Palopo,7373031,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-palopo/rumkitban-07.08.05-palopo.html,  25/11/2014, Jl. Samiun No. 01 Kota Palopo, Kota Palopo, 91922, 0471-21032, D, Lettu Ckm Sayuti Sinoa, TNI AD, 07/09/2016, 0471-22331, ayah.dede77@gmail.com, -, -,-,-,-, 1,-,-, 1,-,-,-,  0, 2, 1,-, 24, 8, 1,-, Ruang, 3 Ruang, 5 Ruang, 22 Ruang, 30 Ruang, 2," 2,839 m2"," 1,445 m2", YM.02.04.3.2.4525, 18/09/2006, Menkes, Tetap
RSU Kartini,1805046,RSU,https://medicalclinic.id/rumah-sakit/daerah/lampung-tengah/rsu-kartini.html,  29/09/2014, Jl. KARTINI NO. 104 KALIREJO, Lampung Tengah, 34174, 0729 370028, D," dr. Hernowo Anggoro Wasono, M.Kes", Swasta/Lainnya, 07/09/2016, 0729 370883, rumahsakitkartini@yahoo.com, 0729 370028, -, 1,-, 1, 1, 1,-,-,-,-,-,  0, 4, 1,-, 17, 15, 1, 6, Ruang, 4 Ruang, 5 Ruang, 10 Ruang, 28 Ruang, 19, 29900 m2, 3304 m2, 179/KPTS/D.2/2014, 00/00/0000, Bupati Lampung Tengah,-
RSIA Kenari Graha Medika,3201242,RSAB,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsia-kenari-graha-medika.html,  03/09/2016, Griya Kenari Mas Blok B2 Des. Cileungsi Kidul Kec. Cileungsi, Bogor, 16820, 021-8230426, C," dr. Licht Kumoring, MARS", Swasta/Lainnya, 03/09/2016, 021-8231829, kenarigrahamedika@yahoo.com,-, -, 2,-, 2, 1,-,-, 1, 1, 1, 1,  0, 7, 6,-,-,-, 1,-, Ruang, 5 Ruang, 13 Ruang, 23 Ruang, 18 Ruang, 52, 1154 m2," 1910,63 m2", 445/6/KPTS/PER-UU/2012, 10/05/2010, Bupati Bogor, Tetap
RS Kristen Lindimara,5302012,RSU,https://medicalclinic.id/rumah-sakit/daerah/sumba-timur/rs-kristen-lindimara.html,  21/06/1996," Jl. Prof.DR WZ. Johannes No.6,Waingapu", Sumba Timur, 87113, 0387-61064, D, dr.Alhairani K.L.M.Mesa, Organisasi Sosial, 01/09/2016, 0387-61742, info@lindimara.org, 0387-61064, www.lindimara.org, 1,-, 1, 2, 1,-, 1,-,-,-,  0, 8, 1,-, 89, 4, 1, 3, 10 Ruang, 5 Ruang, 9 Ruang, 14 Ruang, 86 Ruang, 58, 22170 m2," 3279,170 m2", 355/Binsos.440/3.536/VIII/2013, 20/08/2013, Dinas kesehatan, Perpanjang
Rumkit Tk IV Cijantung,3172083,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-timur/rumkit-tk-iv-cijantung.html,  01/01/2015," Jl. Mahoni No 1 Cijantung II Rt 005/004 Pasar Rebo,Jaktim", Jakarta Timur, 13760, 021 8400535, IV," Mayor Ckm dr. Moh. Andi Fatkhurokhman, S", TNI AD, 30/08/2016, 021 87793332, kesdamjaya_cijantung@yahoo.com, 021 8400535, www.rscijantungkesdamjaya.com, 2,-, 2, 1, 2, 1, 1, 1, 1, 1,  1, 15, 3,-, 57, 19, 1, 15, Ruang, 9 Ruang, 16 Ruang, 21 Ruang, 24 Ruang, 67, 10191 m2, 7000 m2, 4872/2012, 30/08/2012, DINAS KESEHATAN, Tetap
RS Gigi dan Mulut FKG Universitas Trisakti,3174527,RSK Gigi dan Mulut,https://medicalclinic.id/rumah-sakit/daerah/jakarta-barat/rs-gigi-dan-mulut-fkg-universitas-trisakti.html,  30/08/2016, Jl. kyai Tapa no 260 Grogol Jakarta Barat, Jakarta Barat, 11440, 021 5672731 ext, A," drg. Marta Juslily, MBA", Perusahaan, 30/08/2016, 021 56962790, rsgmfkgusakti@gmail.com, 081384780039, -,-,-,-,-,-,-,-,-,-,-,  0,-,-,-,-,-,-,-, Ruang, Ruang, Ruang, Ruang, Ruang,-, m2, m2,-, 00/00/0000,-,-
RSU AMC,3273517,RSU,https://medicalclinic.id/rumah-sakit/daerah/bandung/rsu-amc.html,  30/06/2015," Jl. Raya Cileunyi Rancaekek,Bandung", Bandung, 40393, 7781630, C," dr. Fery Fardian, M,. MKes", Swasta/Lainnya, 29/08/2016, 7781629, rsu_amc@yahoo.co.id, 0811209717, -, 3,-, 3, 2, 1,-, 2,-, 1, 3,  1, 12, 3, 1, 90, 13, 1, 34, 2 Ruang, 5 Ruang, 17 Ruang, 45 Ruang, 53 Ruang, 70, 614 m2, 314 m2, 503/IG 5722/BPPT, 02/11/2012, Bupati Bandung, Tetap
RSU AL Fuadi,1276078,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-binjai/rsu-al-fuadi.html,  20/07/2016, JL. AHMAD YANI NO.23, Kota Binjai, 20713, 061 8828919, C," Dr. T. Ellya Fazilla, M.Ked(Ped),SpA", Swasta/Lainnya, 28/08/2016,-, tengkuellya@gmail.com,-,-, 2,-, 2, 1,-,-, 1,-, 1, 1,  0, 5, 1,-,-,-, 1,-, Ruang, 13 Ruang, 20 Ruang, 16 Ruang, 27 Ruang,-, 2900 m2, 2000 m2, 445-265/K/IX/2015, 21/09/2015, Dinas Kesehatan, Tetap
RSIA Annisa,3201094,RSIA,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsia-annisa.html,  29/12/2016, Jl Jafri Zamzam No 56 RT 33, Kota Banjarmasin, 70129, 0511 4364375, C," drg.Nolista Indah Rasyid, Sp.Ort", Swasta/Lainnya, 10/05/2017, 0511 6740061, info.rsia@annisa.co.id, 0511 4364375, http://rsia.annisa.co.id, 2,-, 1, 1,-,-, 1,-,-, 1,  0, 1, 1,-,-,-, 1,-, 3 Ruang, 4 Ruang, 7 Ruang, 6 Ruang, 13 Ruang, 20, 1.136 m2, 2.335.875 m2, 503/217/SIO/RSKIB-AN/X-16/DISKES, 27/12/2016, DINAS KESEHATAN KOTA BANJARMASIN, Perpanjang
RSU Mary Cileungsih Hijau,3201152,RSU,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsu-mary-cileungsih-hijau.html,  01/01/2013," Jl. Raya Narogong Km 21 Cileungsi Bogor, RT001, RW014", Bogor, 16820, 021 - 8249 2222, C," dr. Aviciena Indra Swara,SKM, MARS", Organisasi Sosial, 24/08/2016, 021 - 8249 3902, humas@rsmary.am, -, -,-,-,-,-,-,-,-,-,-,-,  0,-,-,-,-,-,-,-, Ruang, 9 Ruang, 12 Ruang, 80 Ruang, 35 Ruang,-, 7000 m2, 4992 m2, 445/215/Kpts/Per-UU/2015, 30/04/2015, Bupati Bogor, Perpanjang
RSU PMI Bogor,3271013,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-pmi-bogor.html,  11/02/2013, Jl. Raya Pajajaran No. 80 Bogor, Kota Bogor, 16000, 0251-8324080, B," Dr. H. Andi Wisnubaroto,Sp.OT, FICS", Organisasi Sosial, 24/08/2016, 0251-8324709, rspmibogor@yahoo.com, ext. 3313, www.rspmibogor.or.id, 4,-, 4, 3, 2, 1, 3, 2, 4, 2,  0, 16, 4, 3, 381, 21, 32, 38, 17 Ruang, 40 Ruang, 67 Ruang, 49 Ruang, 78 Ruang, 48, 34944 m2, 13931.29 m2, 445/15412/RKK, 17/12/2012, DINAS KESEHATAN PROVINSI JAWA BARAT, Sementara
RSB Fitri Candra,3312307,RS Bersalin,https://medicalclinic.id/rumah-sakit/daerah/wonogiri/rsb-fitri-candra.html,  00/00/0000," Jl. Brigjjend Katamso, Klampisan, Selogiri Wonogiri 57652", Wonogiri, 57652, (0273)5328899, C, dr. Dian Famastuti, Swasta/Lainnya, 24/08/2016,-,-, (0273)5328899,-, 1,-, 1,-, 1,-, 1,-,-,-,  0, 4,-,-, 11, 8, 1,-, Ruang, 9 Ruang, 4 Ruang, 12 Ruang, 12 Ruang, 39, 4860 m2," 2914,3 m2", HK.03.05/I/1975/11, 00/00/0000, Kementrian Kesehatan Republik Indonesia, Tetap
RSU Tugu Ibu,3201061,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsu-tugu-ibu.html,  00/00/0000, Jl. Raya Bogor Km 29 Cimanggis - Depok, Kota Depok, 16951, 021 8710870, C," Dr. Syaifuddin Zuhri, MARS", Organisasi Sosial, 23/08/2016, 8708266, rs.tuguibu@yahoo.com, 8710870, http://www.rs.tuguibu.com, 3,-, 4, 3, 4, 1, 4, 1, 3, 2,  0, 18, 6,-,-,-, 2,-, Ruang, 9 Ruang, 18 Ruang, 44 Ruang, 44 Ruang,-, 7885 m2, 7247.35 m2, 445.8/045/O.RS-BPMP2T/IV/2014, 21/01/2014, BPMP2T, Tetap
RSU Bina Husada,3201115,RSU,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsu-bina-husada.html,  16/08/2016, Jl. Mayor Oking No.101 Km 01 Cibinong - Bogor, Bogor, 169118, 021-87911000, C, Dr. Sampai Tuah Ginting, Organisasi Sosial, 23/08/2016, 021-8752463, info@binahusada.com, 021-87911000, www.binahusada.com, 4,-, 4, 7, 3,-, 2, 1, 4, 2,  0, 12, 3, 1, 127, 14, 4, 17, Ruang, 12 Ruang, 24 Ruang, 19 Ruang, 25 Ruang, 151, 12.291 m2, 5297 m2, 445/273/kprs/huk/2010, 24/05/2010, Bupati bogor, Tetap
RSU Azra,3271072,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-azra.html,  00/00/0000," Jl. Raya Pajajaran No.219, Bogor", Kota Bogor, 16153, 0251-8318456, C," Dr Rizasyah Daud,MSc, Sp.PD-KR", Swasta/Lainnya, 23/08/2016, 0251-8331773, soeparno@rsazra.co.id, 0251-8318456, www.rsazra.co.id, 2,-, 1, 1,-,-, 1,-,-,-,  0, 8,-, 1,-,-, 3,-, 4 Ruang, 55 Ruang, 4 Ruang, 14 Ruang, 21 Ruang,-, - m2, - m2, HK.07.06/III/1463/08, 30/04/2008, Kementerian Kesehatan,-
RSUD Kota Depok,3276124,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsud-kota-depok.html,  02/06/2014, Jl. Raya Muchtar No. 99 Sawangan, Kota Depok, 16435, 0251-8602514, C," Drg. Asloe'ah Madjri, MKKK", Pemkot, 23/08/2016, 0251-8602134, depokrsud@yahoo.com, 0251-8602134, www.rsuddepok.org, 4,-, 2, 2, 1,-, 2,-, 1, 1,  1, 18, 1, 1, 91, 25, 4, 25, Ruang, Ruang, Ruang, 4 Ruang, 65 Ruang, 49, 29378 m2, - m2, 445.8/047/O.RS-BPMP2T/V/2015, 22/05/2015, Menteri Kesehatan, Tetap
RSU Sentra Medika Cibinong,3201230,RSU,https://medicalclinic.id/rumah-sakit/daerah/bogor/rsu-sentra-medika-cibinong.html,  30/06/2015, Jl. Mayor Oking Jaya Atmaja No.9, Bogor, 16911, 021-87909999, B," Dr. Paulus Lanjar Sugiyanto, MARS", Swasta/Lainnya, 23/08/2016, 021 - 87909377, sekretariat.sentramedika@gmail.com, 021-87909999, www.rssentramedikacibinong.com, 8,-, 6, 4, 2, 2, 3, 2, 4, 3,  2, 26, 10, 3, 172, 28, 45, 39, 9 Ruang, 16 Ruang, 44 Ruang, 64 Ruang, 47 Ruang, 149, 17284 m2," 24.308,63 m2", 445.1/Kep.08/I.25.b/IPRSU-B-BPPT/2013, 25/02/2013, Badan Pelayanan Perizinan Terpadu Pemeri, Tetap
RSIA Puri Bunda,3573250,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-malang/rsia-puri-bunda.html,  22/02/2012, Jl. Simpang Sulfat Utara 60 A Pandanwangi Blimbing, Kota Malang, 65124, (0341)480047, C, dr. Ajeng Rahayuning Kusumastiti, Perusahaan, 23/08/2016, (0341)485990, puribunda.malang@yahoo.com, (0341)480047, puribundamalang.com, 2,-, 1, 1,-,-, 1,-,-,-,  0, 8,-,-, 4, 16, 2, 2, Ruang, 6 Ruang, 20 Ruang, 19 Ruang, 14 Ruang, 48," 4.678,29 m2"," 1.631,25 m2", 445/9/35.73.112/2013, 23/09/2013, Walikota Malang, Tetap
RSIA RIMBO MEDIKA,1571164S,RSAB,https://medicalclinic.id/rumah-sakit/daerah/kota-jambi/rsia-rimbo-medika.html,  26/03/2013," Jl, Kap, Pattimura Rt.02 No.58 Jambi", Kota Jambi, 36129, 0741 -582030, Belum ditetapkan, dr.Ramli yasin, Organisasi Sosial, 23/08/2016, 0741 -582030, puspitad47@yahoo.co.id, 081366348884, -, 1,-, 1, 3,-,-, 2,-,-, 1,  0, 8,-,-, 12, 8, 1,-, Ruang, Ruang, 9 Ruang, 4 Ruang, 9 Ruang, 13, 379 m2, 215 m2, 884 Thn 2013, 04/09/2013, Walikota Jambi, Sementara
RSU Ummi,3201241,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-ummi.html,  06/05/2015, Jln. Hibrida Raya No. 01 RT 23 RW 08, Kota Bengkulu, 38229, (0736) 24832, C, dr. H.A Syarifuddin, Swasta/Lainnya, 10/05/2017,-, humas@rsu-ummibengkulu.co.id, 082379947718, RSUUMMIBENGKULU, 3,-, 3, 4, 1,-, 2, 1, 1, 1,  0, 15, 4, 1, 33, 22, 7, 7, 10 Ruang, 2 Ruang, 18 Ruang, 6 Ruang, 12 Ruang, 31, 7878 m2, 1181 m2, 54 tahun 2015, 23/04/2015, Walikota Bengkulu, Tetap
RSU Mulia Pajajaran,3271164,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-bogor/rsu-mulia-pajajaran.html,  15/02/2015," Jln Raya Pajajaran no. 98, Bantarjati - Bogor Utara.", Kota Bogor, 16153, 0251 - 837 9898, C," dr. Hj. Radianti , MARS", Perusahaan, 23/08/2016, 0251 - 837 8800,-, 087887976199, www.rsmulia.co.id, 7,-, 7, 3, 3, 1, 2, 1, 1, 3,  0, 11, 8, 5, 63, 8, 2, 5, 9 Ruang, 18 Ruang, 16 Ruang, 25 Ruang, 31 Ruang, 63, 5211 m2," RS Mulia Pajajaran RSU Kemenkes, Pemprov, dll TNI m2", 445.7/II-BPPTPM-IX/2014, 00/00/0000, Kepala Badan Pelayanan Perizinan Terpadu,-
RSU Erni Medika,1571165,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-jambi/rsu-erni-medika.html,  25/06/2015, Jl. Berlin RT 12 No.21 Kel. Talang Bakung, Kota Jambi, 36136, 082380758262, D, dr. Zulharman, Swasta/Lainnya, 23/08/2016, 07413081014, rumahsakit_ernimedika28@yahoo.co.id, 082380758262,-, 1,-, 1, 2,-,-,-,-,-,-,  0, 5, 1,-,-,-, 1,-, Ruang, 3 Ruang, 7 Ruang, 12 Ruang, 14 Ruang,-, 226 m2, m2, 445/1730/Dinkes/2015, 09/02/2015, Wali Kota Jambi, Perpanjang
RSU Dr. Hafiz,3203038,RSU,https://medicalclinic.id/rumah-sakit/daerah/cianjur/rsu-dr.-hafiz.html,  14/09/2015, Jln. Pramuka No. 15 RT 003 RW 002 Desa Sukamulya Kecamtan Karangtengah Kabupaten More ..., Cianjur, 43821, (0263) 2910000, C," dr. Renyta Amelia, MARS", Perorangan, 23/08/2016, (0263) 2910010, rsdhcianjur@gmail.com; hafizurrachman@gmail.com, (0263) 2910000, www.rsdh.co.id, 2,-, 2, 2, 1,-, 2,-, 2, 1,  0, 9, 2,-,-,-, 8,-, 2 Ruang, 12 Ruang, 23 Ruang, 34 Ruang, 18 Ruang,-, m2, m2, 503/5108/RSU-Operasional/BPPTPM/2015, 08/09/2015, BPPTPM, Tetap
RSIA Az Zahra,1671340,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kota-palembang/rsia-az-zahra.html,  13/07/2015, Jl.Brigjend Hasan Kasim No. 1-2 Kel. Bukit Sangkal Kec. Kalidoni Palembang, Kota Palembang, 30114, 0711 822723, Belum ditetapkan," dr. Rizma Adlia Syakurah, MARS", Perusahaan, 20/08/2016, 0711-826044, desti@azzahragroup.co.id, 07118223732, www.azzahragroup.co.id, 4,-, 2, 1,-,-, 1,-,-,-,  0, 5,-,-,-,-, 1,-, 2 Ruang, 8 Ruang, 1 Ruang, 1 Ruang, 1 Ruang,-, 7100 m m2, 3048 m2, 179 tahun 2015, 13/04/2015, Provinsi Sumatera Selatan, Sementara
RSU Griya Mahardika Yogyakarta,3402077S,RSU,https://medicalclinic.id/rumah-sakit/daerah/bantul/rsu-griya-mahardika-yogyakarta.html,  06/05/2013, jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta, Bantul, 55187, 0274-445020, Belum ditetapkan, dr. R. A. Yohanes Indahyanto, Perusahaan, 19/08/2016, 0274-445023, rsgm212@gmail.com, 0274-445023, www.rsu-griyamahardhika.com, 1,-, 2, 1, 1,-, 2, 1, 1, 1,  1, 9, 1,-, 14, 8, 2, 3, Ruang, 22 Ruang, 6 Ruang, 15 Ruang, 3 Ruang, 6, 4901 m2, 2442 m2, 159/03/DP.VI/2016, 10/06/2016, Dinas Perijinan Kabupaten Bantul, Tetap
RSU Sukmul,3175181,RSU,https://medicalclinic.id/rumah-sakit/daerah/jakarta-utara/rsu-sukmul.html,  20/02/2013, Jl. Tawes No.18-20 Jakarta Utara, Jakarta Utara, 14310, 021-4301269, C," Drg.Erwin Tyrana,MHA", Swasta/Lainnya, 16/08/2016, 021-4301272, sekretariat.rssukmul@sismamedika.com, 021-4301269, -, 2,-, 2, 2, 2, 1, 4,-, 3, 2,  1, 17, 4,-, 74, 24, 2, 32, 8 Ruang, 2 Ruang, 13 Ruang, 16 Ruang, 36 Ruang, 124, 2980 m2, 1.612 m2, 7230/2010, 13/08/2015, Dinkes DKI jakarta, Perpanjang
RSIA Hermina Depok,3201126,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsia-hermina-depok.html,  24/04/2010, Jl. Raya Siliwangi No. 50 Pancoran Mas Depok, Kota Depok, 16436, 021-77202525, C," dr. Gloria Illona, MM", Organisasi Sosial, 16/08/2016, 021-7763309, dir_dpk@herminagroup.com, 021-77202525, http://www.herminahospitalgroup.com, 29,5, 9, 9, 2, 2, 6, 1, 4, 4,  2, 12, 5, 13, 149, 55, 7, 52, 10 Ruang, 26 Ruang, 32 Ruang, 40 Ruang, 15 Ruang, 165, 12.265 m2, 10.195 m2, 445.1/KEP.112/I.25.B/IPRSU-B-BPMPT/2015, 02/10/2015, Badan Pelayanan Perijinan Terpadu Kota D, Perpanjang
RSU Simpangan Depok,3276135,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsu-simpangan-depok.html,  31/12/2013," Jl. Raya Bogor Km.36,Sukamaju Sukmajaya Depok", Kota Depok, 16415, 021-8741549, D, Dr.M.Bima Arrynugrah, Swasta/Lainnya, 16/08/2016, 021-8741574, rs_simdep@yahoo.com, 085694931929, rssimdep, 2,-, 3, 1, 2, 1, 2,-, 2, 1,  0, 7, 4,-, 63, 10, 1, 12, Ruang, 2 Ruang, 9 Ruang, 17 Ruang, 15 Ruang, 56, 2878 m2, 1402 m2, 445.8/055/O.RS-BPMP2T/VI/2013, 15/04/2008, PEMERINTAH KOTA DEPOK, Tetap
RSU Bidadari,1276075,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-binjai/rsu-bidadari.html,  17/12/2012, Jl. Perintis Kemerdekaan No. 174, Kota Binjai, 20744, +62-62 8830003, C, dr. Esti Aditya Dewi, Swasta/Lainnya, 16/08/2016, 061-8826004, rsubidadari@yahoo.com, +6281221353444, rsubidadari.com, 3,-, 3, 2, 1,-, 3, 2, 1, 2,  1, 12, 2,-, 47, 23, 3, 12, 7 Ruang, 25 Ruang, 42 Ruang, 64 Ruang, 73 Ruang, 5, 8108 m2, 16480 m2, 445-15/K/I/2013, 08/01/2013, Dinas Kesehatan Kota Binjai, Tetap
RSU Permata Depok,3276151,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsu-permata-depok.html,  09/08/2014, Jl. Raya Muchtar No.22 Sawangan, Kota Depok, 16511, 021 - 29669000, C," Dr. Heldi Nazir, MARS", Perusahaan, 16/08/2016, 02129668897,-, 021 - 29669000, www.rspermatadepok.com, 8,-, 5, 3, 1, 1, 6, 1, 2, 1,  0, 10, 4, 3, 45, 16, 6, 15, 2 Ruang, 8 Ruang, 24 Ruang, 20 Ruang, 30 Ruang,-, 5110 m2, 4480 m2, 445.8/117/0.rs-BPMP2T/XII/2013, 21/01/2015, Kepala Badan Penanaman Modal dan Pelayan, Tetap
RSU Bunda Margonda,3201196,RSU,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsu-bunda-margonda.html,  17/04/2013, Jl. Margonda Raya KM 3 RT.02/03 no.128, Kota Depok, 16424, 78890551, C," Dr.Imelda Rahmawati,MARS", Swasta/Lainnya, 15/08/2016, 78889958, -, -, -, 6,2, 4, 2, 2, 1, 3, 1, 1, 3,  0, 10, 7,-,-,-, 3,-, 2 Ruang, 16 Ruang, 13 Ruang, 24 Ruang, 10 Ruang,-, - m2, - m2, -445.5/040/0.RS-BPMP2T/IV/2016, 20/04/2016, -kepala BPMP2T, Sementara
RSIA Asyifa,3276147,RSAB,https://medicalclinic.id/rumah-sakit/daerah/kota-depok/rsia-asyifa.html,  16/07/2012," Jl.Raya Depok - Cinere No 09, Rkp. Jaya Baru, Depok", Kota Depok, 16434, 021-77883905, C," Dr.Erna Hayati, MM,MSi", Swasta/Lainnya, 15/08/2016, 021-77885454, rsia_asysyifa@yahoo.com, 021-77883905, -, 3,-, 1, 1, 1,-, 1,-,-, 1,  0, 4, 2,-, 24, 6, 1, 7, Ruang, 3 Ruang, 6 Ruang, 16 Ruang, 8 Ruang, 22, 3100 m2," 572,52 m2", 445.8/114-05/05.RS-BPTT/X/2011, 10/01/1914, Kepala Badan Pelayanan Perijinan Terpadu, Tetap
RSIA CAHAYA SANGATTA,6404045,RSIA,https://medicalclinic.id/rumah-sakit/daerah/kutai-timur/rsia-cahaya-sangatta.html,  15/07/2015, Jl. Yos Sudarso III No. 77 Teluk Lingga Sangatta, Kutai Timur, 75611, 085100502490, C, dr. Regina Tirza Maindoka, Swasta/Lainnya, 12/08/2016, 0549 - 23928, rsiacahayasangatta@yahoo.co.id, 085100502490, rsiacahayasangatta.com, 2,-, 1, 1, 1,-, 1,-,-,-,  0, 6,-,-,-,-, 1,-, 9 Ruang, 6 Ruang, 6 Ruang, 2 Ruang, 6 Ruang, 10, 1144 m2, m2, 440/546/Yankes/2015, 27/04/2015, Dinas Kesehatan Kabupaten Kutai Timur, Perpanjang
